expected,predicted
TRUE,0.9148511534855351
TRUE,0.983012229628363
TRUE,0.9846263664081871
TRUE,0.9582020687436795
FALSE,0.6654303054425613
TRUE,0.99999991242512
TRUE,0.9939529279649081
TRUE,0.9623331056278679
FALSE,0.35662923428369936
TRUE,0.9999211505171989
TRUE,0.9999991502661899
TRUE,0.5489340508151961
TRUE,0.8580500677955978
TRUE,0.7677847757811738
TRUE,0.9987315359675356
TRUE,0.9999622366308526
TRUE,0.12959415419151651
TRUE,0.9999946116662358
FALSE,0.31232744759661574
TRUE,0.9983139560898321
TRUE,0.9961030990651328
TRUE,0.9940955878288158
TRUE,0.9649942761350174
TRUE,0.9999170365392056
TRUE,0.9993644687472472
TRUE,0.5928232659536016
TRUE,0.9997744084715694
FALSE,0.3270947484294172
TRUE,0.5416798061546884
TRUE,0.7850611795715834
TRUE,0.9999988956597667
TRUE,0.9901363355956923
TRUE,0.8242950051187882
TRUE,0.15819278495823677
FALSE,0.9283725550226526
TRUE,0.9996396262722229
TRUE,0.9979606644361863
TRUE,0.9996220317677913
TRUE,0.9689556413980154
TRUE,0.9993359679094813
TRUE,0.6338542555204176
TRUE,0.9994914040112592
FALSE,0.04410973165447685
TRUE,0.9796620102183341
FALSE,0.7404015754243791
TRUE,0.9107578199244487
TRUE,0.999458178904748
TRUE,0.99718386407104
TRUE,0.9938359673160808
TRUE,0.9976549339150649
FALSE,0.4915492814805638
FALSE,0.010050009846124232
TRUE,0.5071073453477807
TRUE,0.999984174239373
FALSE,0.28504632630599747
TRUE,0.9994788682693487
FALSE,1.149493156991551e-6
TRUE,0.9946507925912915
TRUE,0.9991490080302897
TRUE,0.9999967071927622
TRUE,0.9836127006353252
FALSE,0.5054094177102929
FALSE,0.010535558183575733
TRUE,0.999374641192928
TRUE,0.9832210117541373
TRUE,0.9990340434209531
TRUE,0.9602944315596172
FALSE,0.7442004450230857
FALSE,0.026847767357247528
TRUE,0.9984648486034954
TRUE,0.9999746894271891
TRUE,0.9998349060421098
TRUE,0.9800463224704883
TRUE,0.6003934398352097
TRUE,0.8285689206368252
TRUE,0.9995421545665656
TRUE,0.9678739257659705
TRUE,0.9644850068844618
FALSE,0.43903578501557233
TRUE,0.9998112889774315
FALSE,0.6870850288716881
TRUE,0.992134902177673
TRUE,0.9999510809959915
FALSE,0.19084984339216388
TRUE,0.997992775603411
TRUE,0.9334908274130912
TRUE,0.9994923929668229
TRUE,0.721896061174651
TRUE,0.9994784944793462
TRUE,0.7717005963172551
TRUE,0.43219886659911977
TRUE,0.8774513725591634
TRUE,0.9999857030004403
FALSE,0.47573183869134084
TRUE,0.7635568844872903
FALSE,0.3316060316212102
TRUE,0.9257319755435527
TRUE,0.7895871510656545
FALSE,0.3076830716528647
TRUE,0.9962472304191796
